MuseumAbbreviation,CatalogNumber,SpecimenID,CurrentIdentification,CommonName,Family,Country,Province,District,CentroidLatitude,CentroidLongitude,Sex,Weight,TotalLength,TailLength,HindFoot,EarLength
USNM,606111,USNM606111,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Clallam,,,Male,100000,910,,,
USNM,606112,USNM606112,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,90000,890,,,
USNM,606113,USNM606113,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Pacific,,,Female,85000,800,,,
USNM,606114,USNM606114,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,132000,1020,,,
USNM,606115,USNM606115,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Female,11000,910,,,
USNM,606116,USNM606116,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,81000,860,,,
USNM,606117,USNM606117,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Female,89000,840,,,
USNM,606118,USNM606118,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,80000,820,,,
USNM,606119,USNM606119,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,85000,900,,,
USNM,606120,USNM606120,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Female,100000,880,,,
USNM,606121,USNM606121,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Female,85000,900,,,
USNM,606122,USNM606122,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,80000,800,,,
USNM,606123,USNM606123,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,100000,960,,,
USNM,606124,USNM606124,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,115000,950,,,
USNM,606125,USNM606125,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Female,100000,900,,,
USNM,606126,USNM606126,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Grays Harbor,,,Male,120000,1000,,,
USNM,606136,USNM606136,Arctocephalus townsendi,Guadalupe Fur Seal,Otariidae,United States,Washington,Pacific,,,Male,110000,970,,,
USNM,550090,USNM550090,Arctocephalus tropicalis,Subantarctic Fur Seal,Otariidae,South Shetland Islands,,,,,Female,36000,1300,,,
USNM,550091,USNM550091,Arctocephalus tropicalis,Subantarctic Fur Seal,Otariidae,South Shetland Islands,,,,,Male,54000,1710,,,
USNM,113069,USNM113069,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Indonesia,Kepulauan Riau,,,,Male,2500,1050,535,,
USNM,122920,USNM122920,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Indonesia,Riau,,0.66405,103.466,Male,3000,970,485,,
USNM,124172,USNM124172,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Myanmar,Tanintharyi,Mergui Archipelago,11.5583,98.2709,Female,1930,1020,545,,
USNM,124984,USNM124984,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Indonesia,Kepulauan Bangka Belitung,,-2.61591,108.042,Female,1020,875,435,75,
USNM,144120,USNM144120,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Indonesia,Riau,,1.02927,102.214,Male,3740,1116,590,103,
USNM,144324,USNM144324,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Indonesia,Riau,,0.878472,102.935,Male,2000,955,490,85,
USNM,151875,USNM151875,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Indonesia,Kalimantan Selatan,,-2.9639,116.226,Female,1000,932,495,80,
USNM,489392,USNM489392,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Malaysia,Wilayah Persekutuan,Kuala Lumpur,3.32,101.75,Female,576,755,410,69,35
USNM,489393,USNM489393,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Malaysia,Pahang,Pekan District,2.8917,103.28,Female,1250,1072,600,89,41
USNM,489394,USNM489394,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Malaysia,Selangor,Klang District,3.18,101.48,Female,2500,520,575,88,42
USNM,489395,USNM489395,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Malaysia,Wilayah Persekutuan,Kuala Lumpur,3.23,101.63,Female,1750,965,503,88,43
USNM,489396,USNM489396,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Malaysia,Pahang,Bentong District,3.33,101.87,Male,1169,1035,575,85,43
USNM,489397,USNM489397,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Malaysia,Sabah,,6,116.68,Male,795,788,425,69,46
USNM,489398,USNM489398,Arctogalidia trivirgata,Small-toothed Palm Civet,Viverridae,Malaysia,Wilayah Persekutuan,Kuala Lumpur,3.28,101.75,Female,2191,1068,555,88,41
USNM,463357,USNM463357,Atilax paludinosus,Marsh Mongoose,Herpestidae,Sierra Leone,Eastern Province,Kailahun District,7.98,-10.95,Male,3632,857,294,99,40
USNM,467665,USNM467665,Atilax paludinosus,Marsh Mongoose,Herpestidae,Cote d'Ivoire,,,7,-7.05,Male,907,735,295,101,35
USNM,467666,USNM467666,Atilax paludinosus,Marsh Mongoose,Herpestidae,Cote d'Ivoire,,,5.35,-7.37,Male,1361,726,298,95,32
USNM,469880,USNM469880,Atilax paludinosus,Marsh Mongoose,Herpestidae,South Africa,Western Cape,,-32.48,18.53,Female,1928,767,315,100,32
USNM,469881,USNM469881,Atilax paludinosus,Marsh Mongoose,Herpestidae,South Africa,Western Cape,Montagu District,-33.78,20.12,Female,2495,837,355,106,35
USNM,481993,USNM481993,Atilax paludinosus,Marsh Mongoose,Herpestidae,Liberia,Grand Gedeh,,6.22,-8.13,Male,1700,712,298,98,28
USNM,541412,USNM541412,Atilax paludinosus,Marsh Mongoose,Herpestidae,,,,,,Male,3400,,329,112,37
USNM,545835,USNM545835,Atilax paludinosus,Marsh Mongoose,Herpestidae,Sierra Leone,Eastern Province,,7.9,-10.97,Female,2000,730,275,96,34
USNM,217333,USNM217333,Callorhinus ursinus,Northern Fur Seal,Otariidae,United States,Alaska,Pribilof Islands,,,,27000,1020,,,
USNM,217334,USNM217334,Callorhinus ursinus,Northern Fur Seal,Otariidae,United States,Alaska,Pribilof Islands,,,,33800,1210,,,
USNM,217335,USNM217335,Callorhinus ursinus,Northern Fur Seal,Otariidae,United States,Alaska,Pribilof Islands,,,,28000,1120,,,
